input_sequence,target_word
"l,i,h,a,_,_,_,_,_,_",lihat
"l,i,h,a,t,_,_,_,_,_",lihat
"l,_,_,_,_,_,_,_,_,_",lagi
"l,a,_,_,_,_,_,_,_,_",lagi
"l,a,g,_,_,_,_,_,_,_",lagi
"l,a,g,i,_,_,_,_,_,_",lagi
"l,_,_,_,_,_,_,_,_,_",lupa
"l,u,_,_,_,_,_,_,_,_",lupa
"l,u,p,_,_,_,_,_,_,_",lupa
"l,u,p,a,_,_,_,_,_,_",lupa
"l,_,_,_,_,_,_,_,_,_",lewat
"l,e,_,_,_,_,_,_,_,_",lewat
"l,e,w,_,_,_,_,_,_,_",lewat
"l,e,w,a,_,_,_,_,_,_",lewat
"l,e,w,a,t,_,_,_,_,_",lewat
"l,_,_,_,_,_,_,_,_,_",lain
"l,a,_,_,_,_,_,_,_,_",lain
"l,a,i,_,_,_,_,_,_,_",lain
"l,a,i,n,_,_,_,_,_,_",lain
"l,_,_,_,_,_,_,_,_,_",lemah
"l,e,_,_,_,_,_,_,_,_",lemah
"l,e,m,_,_,_,_,_,_,_",lemah
"l,e,m,a,_,_,_,_,_,_",lemah
"l,e,m,a,h,_,_,_,_,_",lemah
"l,_,_,_,_,_,_,_,_,_",lapar
"l,a,_,_,_,_,_,_,_,_",lapar
"l,a,p,_,_,_,_,_,_,_",lapar
"l,a,p,a,_,_,_,_,_,_",lapar
"l,a,p,a,r,_,_,_,_,_",lapar
"l,_,_,_,_,_,_,_,_,_",lebar
"l,e,_,_,_,_,_,_,_,_",lebar
"l,e,b,_,_,_,_,_,_,_",lebar
"l,e,b,a,_,_,_,_,_,_",lebar
"l,e,b,a,r,_,_,_,_,_",lebar
"m,_,_,_,_,_,_,_,_,_",mata
"m,a,_,_,_,_,_,_,_,_",mata
"m,a,t,_,_,_,_,_,_,_",mata
"m,a,t,a,_,_,_,_,_,_",mata
"m,_,_,_,_,_,_,_,_,_",makan
"m,a,_,_,_,_,_,_,_,_",makan
"m,a,k,_,_,_,_,_,_,_",makan
"m,a,k,a,_,_,_,_,_,_",makan
"m,a,k,a,n,_,_,_,_,_",makan
"m,_,_,_,_,_,_,_,_,_",mama
"m,a,_,_,_,_,_,_,_,_",mama
"m,a,m,_,_,_,_,_,_,_",mama
"m,a,m,a,_,_,_,_,_,_",mama
"m,_,_,_,_,_,_,_,_,_",malam
"m,a,_,_,_,_,_,_,_,_",malam
"m,a,l,_,_,_,_,_,_,_",malam
"m,a,l,a,_,_,_,_,_,_",malam
"m,a,l,a,m,_,_,_,_,_",malam
"m,_,_,_,_,_,_,_,_,_",maaf
"m,a,_,_,_,_,_,_,_,_",maaf
"m,a,a,_,_,_,_,_,_,_",maaf
"m,a,a,f,_,_,_,_,_,_",maaf
"m,_,_,_,_,_,_,_,_,_",main
"m,a,_,_,_,_,_,_,_,_",main
"m,a,i,_,_,_,_,_,_,_",main
"m,a,i,n,_,_,_,_,_,_",main
"m,_,_,_,_,_,_,_,_,_",muda
"m,u,_,_,_,_,_,_,_,_",muda
"m,u,d,_,_,_,_,_,_,_",muda
"m,u,d,a,_,_,_,_,_,_",muda
"m,_,_,_,_,_,_,_,_,_",musik
"m,u,_,_,_,_,_,_,_,_",musik
"m,u,s,_,_,_,_,_,_,_",musik
"m,u,s,i,_,_,_,_,_,_",musik
"m,u,s,i,k,_,_,_,_,_",musik
"m,_,_,_,_,_,_,_,_,_",mobil
"m,o,_,_,_,_,_,_,_,_",mobil
"m,o,b,_,_,_,_,_,_,_",mobil
"m,o,b,i,_,_,_,_,_,_",mobil
"m,o,b,i,l,_,_,_,_,_",mobil
"m,_,_,_,_,_,_,_,_,_",manis
"m,a,_,_,_,_,_,_,_,_",manis
"m,a,n,_,_,_,_,_,_,_",manis
"m,a,n,i,_,_,_,_,_,_",manis
"m,a,n,i,s,_,_,_,_,_",manis
"n,_,_,_,_,_,_,_,_,_",nama
"n,a,_,_,_,_,_,_,_,_",nama
"n,a,m,_,_,_,_,_,_,_",nama
"n,a,m,a,_,_,_,_,_,_",nama
"n,_,_,_,_,_,_,_,_,_",nanti
"n,a,_,_,_,_,_,_,_,_",nanti
"n,a,n,_,_,_,_,_,_,_",nanti
"n,a,n,t,_,_,_,_,_,_",nanti
"n,a,n,t,i,_,_,_,_,_",nanti
"t,_,_,_,_,_,_,_,_,_",tidak
"t,i,_,_,_,_,_,_,_,_",tidak
"t,i,d,_,_,_,_,_,_,_",tidak
"t,i,d,a,_,_,_,_,_,_",tidak
"t,i,d,a,k,_,_,_,_,_",tidak
"n,_,_,_,_,_,_,_,_,_",nyaman
"n,y,_,_,_,_,_,_,_,_",nyaman
"n,y,a,_,_,_,_,_,_,_",nyaman
"n,y,a,m,_,_,_,_,_,_",nyaman
"n,y,a,m,a,_,_,_,_,_",nyaman
"n,y,a,m,a,n,_,_,_,_",nyaman
"n,_,_,_,_,_,_,_,_,_",naik
"n,a,_,_,_,_,_,_,_,_",naik
"n,a,i,_,_,_,_,_,_,_",naik
"n,a,i,k,_,_,_,_,_,_",naik
"n,_,_,_,_,_,_,_,_,_",negara
"n,e,_,_,_,_,_,_,_,_",negara
"n,e,g,_,_,_,_,_,_,_",negara
"n,e,g,a,_,_,_,_,_,_",negara
"n,e,g,a,r,_,_,_,_,_",negara
"n,e,g,a,r,a,_,_,_,_",negara
"n,_,_,_,_,_,_,_,_,_",nyanyi
"n,y,_,_,_,_,_,_,_,_",nyanyi
"n,y,a,_,_,_,_,_,_,_",nyanyi
"n,y,a,n,_,_,_,_,_,_",nyanyi
"n,y,a,n,y,_,_,_,_,_",nyanyi
"n,y,a,n,y,i,_,_,_,_",nyanyi
"n,_,_,_,_,_,_,_,_,_",nomor
"n,o,_,_,_,_,_,_,_,_",nomor
"n,o,m,_,_,_,_,_,_,_",nomor
"n,o,m,o,_,_,_,_,_,_",nomor
"n,o,m,o,r,_,_,_,_,_",nomor
"n,_,_,_,_,_,_,_,_,_",nikah
"n,i,_,_,_,_,_,_,_,_",nikah
"n,i,k,_,_,_,_,_,_,_",nikah
"n,i,k,a,_,_,_,_,_,_",nikah
"n,i,k,a,h,_,_,_,_,_",nikah
"n,_,_,_,_,_,_,_,_,_",nilai
"n,i,_,_,_,_,_,_,_,_",nilai
"n,i,l,_,_,_,_,_,_,_",nilai
"n,i,l,a,_,_,_,_,_,_",nilai
"n,i,l,a,i,_,_,_,_,_",nilai
"o,_,_,_,_,_,_,_,_,_",orang
"o,r,_,_,_,_,_,_,_,_",orang
"o,r,a,_,_,_,_,_,_,_",orang
"o,r,a,n,_,_,_,_,_,_",orang
"o,r,a,n,g,_,_,_,_,_",orang
"o,_,_,_,_,_,_,_,_,_",oleh
"o,l,_,_,_,_,_,_,_,_",oleh
"o,l,e,_,_,_,_,_,_,_",oleh
"o,l,e,h,_,_,_,_,_,_",oleh
"a,_,_,_,_,_,_,_,_,_",atau
"a,t,_,_,_,_,_,_,_,_",atau
"a,t,a,_,_,_,_,_,_,_",atau
"a,t,a,u,_,_,_,_,_,_",atau
"o,_,_,_,_,_,_,_,_,_",obat
"o,b,_,_,_,_,_,_,_,_",obat
"o,b,a,_,_,_,_,_,_,_",obat
"o,b,a,t,_,_,_,_,_,_",obat
"o,_,_,_,_,_,_,_,_,_",olahraga
"o,l,_,_,_,_,_,_,_,_",olahraga
"o,l,a,_,_,_,_,_,_,_",olahraga
"o,l,a,h,_,_,_,_,_,_",olahraga
"o,l,a,h,r,_,_,_,_,_",olahraga
"o,l,a,h,r,a,_,_,_,_",olahraga
"o,l,a,h,r,a,g,_,_,_",olahraga
"o,l,a,h,r,a,g,a,_,_",olahraga
"o,_,_,_,_,_,_,_,_,_",omong
"o,m,_,_,_,_,_,_,_,_",omong
"o,m,o,_,_,_,_,_,_,_",omong
"o,m,o,n,_,_,_,_,_,_",omong
"o,m,o,n,g,_,_,_,_,_",omong
"o,_,_,_,_,_,_,_,_,_",otot
"o,t,_,_,_,_,_,_,_,_",otot
"o,t,o,_,_,_,_,_,_,_",otot
"o,t,o,t,_,_,_,_,_,_",otot
"o,_,_,_,_,_,_,_,_,_",orangtua
"o,r,_,_,_,_,_,_,_,_",orangtua
"o,r,a,_,_,_,_,_,_,_",orangtua
"o,r,a,n,_,_,_,_,_,_",orangtua
"o,r,a,n,g,_,_,_,_,_",orangtua
"o,r,a,n,g,t,_,_,_,_",orangtua
"o,r,a,n,g,t,u,_,_,_",orangtua
"o,r,a,n,g,t,u,a,_,_",orangtua
"o,_,_,_,_,_,_,_,_,_",organisasi
"o,r,_,_,_,_,_,_,_,_",organisasi
"o,r,g,_,_,_,_,_,_,_",organisasi
"o,r,g,a,_,_,_,_,_,_",organisasi
"o,r,g,a,n,_,_,_,_,_",organisasi
"o,r,g,a,n,i,_,_,_,_",organisasi
"o,r,g,a,n,i,s,_,_,_",organisasi
"o,r,g,a,n,i,s,a,_,_",organisasi
"o,r,g,a,n,i,s,a,s,_",organisasi
"o,r,g,a,n,i,s,a,s,i",organisasi
"o,_,_,_,_,_,_,_,_,_",oksigen
"o,k,_,_,_,_,_,_,_,_",oksigen
"o,k,s,_,_,_,_,_,_,_",oksigen
"o,k,s,i,_,_,_,_,_,_",oksigen
"o,k,s,i,g,_,_,_,_,_",oksigen
"o,k,s,i,g,e,_,_,_,_",oksigen
"o,k,s,i,g,e,n,_,_,_",oksigen
"p,_,_,_,_,_,_,_,_,_",papa
"p,a,_,_,_,_,_,_,_,_",papa
"p,a,p,_,_,_,_,_,_,_",papa
"p,a,p,a,_,_,_,_,_,_",papa
"p,_,_,_,_,_,_,_,_,_",pergi
"p,e,_,_,_,_,_,_,_,_",pergi
"p,e,r,_,_,_,_,_,_,_",pergi
"p,e,r,g,_,_,_,_,_,_",pergi
"p,e,r,g,i,_,_,_,_,_",pergi
"p,_,_,_,_,_,_,_,_,_",pulang
"p,u,_,_,_,_,_,_,_,_",pulang
"p,u,l,_,_,_,_,_,_,_",pulang
"p,u,l,a,_,_,_,_,_,_",pulang
"p,u,l,a,n,_,_,_,_,_",pulang
"p,u,l,a,n,g,_,_,_,_",pulang
"p,_,_,_,_,_,_,_,_,_",pohon
"p,o,_,_,_,_,_,_,_,_",pohon
"p,o,h,_,_,_,_,_,_,_",pohon
"p,o,h,o,_,_,_,_,_,_",pohon
"p,o,h,o,n,_,_,_,_,_",pohon
"p,_,_,_,_,_,_,_,_,_",pagi
"p,a,_,_,_,_,_,_,_,_",pagi
"p,a,g,_,_,_,_,_,_,_",pagi
"p,a,g,i,_,_,_,_,_,_",pagi
"p,_,_,_,_,_,_,_,_,_",putih
"p,u,_,_,_,_,_,_,_,_",putih
"p,u,t,_,_,_,_,_,_,_",putih
"p,u,t,i,_,_,_,_,_,_",putih
"p,u,t,i,h,_,_,_,_,_",putih
"p,_,_,_,_,_,_,_,_,_",pintar
"p,i,_,_,_,_,_,_,_,_",pintar
"p,i,n,_,_,_,_,_,_,_",pintar
"p,i,n,t,_,_,_,_,_,_",pintar
"p,i,n,t,a,_,_,_,_,_",pintar
"p,i,n,t,a,r,_,_,_,_",pintar
"p,_,_,_,_,_,_,_,_,_",panas
"p,a,_,_,_,_,_,_,_,_",panas
"p,a,n,_,_,_,_,_,_,_",panas
"p,a,n,a,_,_,_,_,_,_",panas
"p,a,n,a,s,_,_,_,_,_",panas
"p,_,_,_,_,_,_,_,_,_",pakai
"p,a,_,_,_,_,_,_,_,_",pakai
"p,a,k,_,_,_,_,_,_,_",pakai
"p,a,k,a,_,_,_,_,_,_",pakai
"p,a,k,a,i,_,_,_,_,_",pakai
"p,_,_,_,_,_,_,_,_,_",pelan
"p,e,_,_,_,_,_,_,_,_",pelan
"p,e,l,_,_,_,_,_,_,_",pelan
"p,e,l,a,_,_,_,_,_,_",pelan
"p,e,l,a,n,_,_,_,_,_",pelan
"q,_,_,_,_,_,_,_,_,_",quran
"q,u,_,_,_,_,_,_,_,_",quran
"q,u,r,_,_,_,_,_,_,_",quran
"q,u,r,a,_,_,_,_,_,_",quran
"q,u,r,a,n,_,_,_,_,_",quran
"q,_,_,_,_,_,_,_,_,_",quantum
"q,u,_,_,_,_,_,_,_,_",quantum
"q,u,a,_,_,_,_,_,_,_",quantum
"q,u,a,n,_,_,_,_,_,_",quantum
"q,u,a,n,t,_,_,_,_,_",quantum
"q,u,a,n,t,u,_,_,_,_",quantum
"q,u,a,n,t,u,m,_,_,_",quantum
"q,_,_,_,_,_,_,_,_,_",quiz
"q,u,_,_,_,_,_,_,_,_",quiz
"q,u,i,_,_,_,_,_,_,_",quiz
"q,u,i,z,_,_,_,_,_,_",quiz
"q,_,_,_,_,_,_,_,_,_",quality
"q,u,_,_,_,_,_,_,_,_",quality
"q,u,a,_,_,_,_,_,_,_",quality
"q,u,a,l,_,_,_,_,_,_",quality
"q,u,a,l,i,_,_,_,_,_",quality
"q,u,a,l,i,t,_,_,_,_",quality
"q,u,a,l,i,t,y,_,_,_",quality
"q,_,_,_,_,_,_,_,_,_",quarter
"q,u,_,_,_,_,_,_,_,_",quarter
"q,u,a,_,_,_,_,_,_,_",quarter
"q,u,a,r,_,_,_,_,_,_",quarter
"q,u,a,r,t,_,_,_,_,_",quarter
"q,u,a,r,t,e,_,_,_,_",quarter
"q,u,a,r,t,e,r,_,_,_",quarter
"q,_,_,_,_,_,_,_,_,_",question
"q,u,_,_,_,_,_,_,_,_",question
"q,u,e,_,_,_,_,_,_,_",question
"q,u,e,s,_,_,_,_,_,_",question
"q,u,e,s,t,_,_,_,_,_",question
"q,u,e,s,t,i,_,_,_,_",question
"q,u,e,s,t,i,o,_,_,_",question
"q,u,e,s,t,i,o,n,_,_",question
"q,_,_,_,_,_,_,_,_,_",quick
"q,u,_,_,_,_,_,_,_,_",quick
"q,u,i,_,_,_,_,_,_,_",quick
"q,u,i,c,_,_,_,_,_,_",quick
"q,u,i,c,k,_,_,_,_,_",quick
"q,_,_,_,_,_,_,_,_,_",quiet
"q,u,_,_,_,_,_,_,_,_",quiet
"q,u,i,_,_,_,_,_,_,_",quiet
"q,u,i,e,_,_,_,_,_,_",quiet
"q,u,i,e,t,_,_,_,_,_",quiet
"q,_,_,_,_,_,_,_,_,_",quote
"q,u,_,_,_,_,_,_,_,_",quote
"q,u,o,_,_,_,_,_,_,_",quote
"q,u,o,t,_,_,_,_,_,_",quote
"q,u,o,t,e,_,_,_,_,_",quote
"q,_,_,_,_,_,_,_,_,_",queen
"q,u,_,_,_,_,_,_,_,_",queen
"q,u,e,_,_,_,_,_,_,_",queen
"q,u,e,e,_,_,_,_,_,_",queen
"q,u,e,e,n,_,_,_,_,_",queen
"r,_,_,_,_,_,_,_,_,_",rumah
"r,u,_,_,_,_,_,_,_,_",rumah
"r,u,m,_,_,_,_,_,_,_",rumah
"r,u,m,a,_,_,_,_,_,_",rumah
"r,u,m,a,h,_,_,_,_,_",rumah
"r,_,_,_,_,_,_,_,_,_",rasa
"r,a,_,_,_,_,_,_,_,_",rasa
"r,a,s,_,_,_,_,_,_,_",rasa
"r,a,s,a,_,_,_,_,_,_",rasa
"r,_,_,_,_,_,_,_,_,_",raja
"r,a,_,_,_,_,_,_,_,_",raja
"r,a,j,_,_,_,_,_,_,_",raja
"r,a,j,a,_,_,_,_,_,_",raja
"r,_,_,_,_,_,_,_,_,_",rendah
"r,e,_,_,_,_,_,_,_,_",rendah
"r,e,n,_,_,_,_,_,_,_",rendah
"r,e,n,d,_,_,_,_,_,_",rendah
"r,e,n,d,a,_,_,_,_,_",rendah
"r,e,n,d,a,h,_,_,_,_",rendah
"r,_,_,_,_,_,_,_,_,_",rindu
"r,i,_,_,_,_,_,_,_,_",rindu
"r,i,n,_,_,_,_,_,_,_",rindu
"r,i,n,d,_,_,_,_,_,_",rindu
"r,i,n,d,u,_,_,_,_,_",rindu
"r,_,_,_,_,_,_,_,_,_",rusak
"r,u,_,_,_,_,_,_,_,_",rusak
"r,u,s,_,_,_,_,_,_,_",rusak
"r,u,s,a,_,_,_,_,_,_",rusak
"r,u,s,a,k,_,_,_,_,_",rusak
"r,_,_,_,_,_,_,_,_,_",rahasia
"r,a,_,_,_,_,_,_,_,_",rahasia
"r,a,h,_,_,_,_,_,_,_",rahasia
"r,a,h,a,_,_,_,_,_,_",rahasia
"r,a,h,a,s,_,_,_,_,_",rahasia
"r,a,h,a,s,i,_,_,_,_",rahasia
"r,a,h,a,s,i,a,_,_,_",rahasia
"r,_,_,_,_,_,_,_,_,_",rokok
"r,o,_,_,_,_,_,_,_,_",rokok
"r,o,k,_,_,_,_,_,_,_",rokok
"r,o,k,o,_,_,_,_,_,_",rokok
"r,o,k,o,k,_,_,_,_,_",rokok
"r,_,_,_,_,_,_,_,_,_",radio
"r,a,_,_,_,_,_,_,_,_",radio
"r,a,d,_,_,_,_,_,_,_",radio
"r,a,d,i,_,_,_,_,_,_",radio
"r,a,d,i,o,_,_,_,_,_",radio
"r,_,_,_,_,_,_,_,_,_",rawat
"r,a,_,_,_,_,_,_,_,_",rawat
"r,a,w,_,_,_,_,_,_,_",rawat
"r,a,w,a,_,_,_,_,_,_",rawat
"r,a,w,a,t,_,_,_,_,_",rawat
"s,_,_,_,_,_,_,_,_,_",saya
"s,a,_,_,_,_,_,_,_,_",saya
"s,a,y,_,_,_,_,_,_,_",saya
"s,a,y,a,_,_,_,_,_,_",saya
"s,_,_,_,_,_,_,_,_,_",sudah
"s,u,_,_,_,_,_,_,_,_",sudah
"s,u,d,_,_,_,_,_,_,_",sudah
"s,u,d,a,_,_,_,_,_,_",sudah
"s,u,d,a,h,_,_,_,_,_",sudah
"s,_,_,_,_,_,_,_,_,_",sama
"s,a,_,_,_,_,_,_,_,_",sama
"s,a,m,_,_,_,_,_,_,_",sama
"s,a,m,a,_,_,_,_,_,_",sama
"s,_,_,_,_,_,_,_,_,_",sayang
"s,a,_,_,_,_,_,_,_,_",sayang
"s,a,y,_,_,_,_,_,_,_",sayang
"s,a,y,a,_,_,_,_,_,_",sayang
"s,a,y,a,n,_,_,_,_,_",sayang
"s,a,y,a,n,g,_,_,_,_",sayang
"s,_,_,_,_,_,_,_,_,_",sekolah
"s,e,_,_,_,_,_,_,_,_",sekolah
"s,e,k,_,_,_,_,_,_,_",sekolah
"s,e,k,o,_,_,_,_,_,_",sekolah
"s,e,k,o,l,_,_,_,_,_",sekolah
"s,e,k,o,l,a,_,_,_,_",sekolah
"s,e,k,o,l,a,h,_,_,_",sekolah
"s,_,_,_,_,_,_,_,_,_",suami
"s,u,_,_,_,_,_,_,_,_",suami
"s,u,a,_,_,_,_,_,_,_",suami
"s,u,a,m,_,_,_,_,_,_",suami
"s,u,a,m,i,_,_,_,_,_",suami
"s,_,_,_,_,_,_,_,_,_",sore
"s,o,_,_,_,_,_,_,_,_",sore
"s,o,r,_,_,_,_,_,_,_",sore
"s,o,r,e,_,_,_,_,_,_",sore
"s,_,_,_,_,_,_,_,_,_",senang
"s,e,_,_,_,_,_,_,_,_",senang
"s,e,n,_,_,_,_,_,_,_",senang
"s,e,n,a,_,_,_,_,_,_",senang
"s,e,n,a,n,_,_,_,_,_",senang
"s,e,n,a,n,g,_,_,_,_",senang
"s,_,_,_,_,_,_,_,_,_",sedih
"s,e,_,_,_,_,_,_,_,_",sedih
"s,e,d,_,_,_,_,_,_,_",sedih
"s,e,d,i,_,_,_,_,_,_",sedih
"s,e,d,i,h,_,_,_,_,_",sedih
"s,_,_,_,_,_,_,_,_,_",sehat
"s,e,_,_,_,_,_,_,_,_",sehat
"s,e,h,_,_,_,_,_,_,_",sehat
"s,e,h,a,_,_,_,_,_,_",sehat
"s,e,h,a,t,_,_,_,_,_",sehat
"t,_,_,_,_,_,_,_,_,_",teman
"t,e,_,_,_,_,_,_,_,_",teman
"t,e,m,_,_,_,_,_,_,_",teman
"t,e,m,a,_,_,_,_,_,_",teman
"t,e,m,a,n,_,_,_,_,_",teman
"t,_,_,_,_,_,_,_,_,_",terima
"t,e,_,_,_,_,_,_,_,_",terima
"t,e,r,_,_,_,_,_,_,_",terima
"t,e,r,i,_,_,_,_,_,_",terima
"t,e,r,i,m,_,_,_,_,_",terima
"t,e,r,i,m,a,_,_,_,_",terima
"t,_,_,_,_,_,_,_,_,_",tidak
"t,i,_,_,_,_,_,_,_,_",tidak
"t,i,d,_,_,_,_,_,_,_",tidak
"t,i,d,a,_,_,_,_,_,_",tidak
"t,i,d,a,k,_,_,_,_,_",tidak
"t,_,_,_,_,_,_,_,_,_",tahu
"t,a,_,_,_,_,_,_,_,_",tahu
"t,a,h,_,_,_,_,_,_,_",tahu
"t,a,h,u,_,_,_,_,_,_",tahu
"t,_,_,_,_,_,_,_,_,_",takut
"t,a,_,_,_,_,_,_,_,_",takut
"t,a,k,_,_,_,_,_,_,_",takut
"t,a,k,u,_,_,_,_,_,_",takut
"t,a,k,u,t,_,_,_,_,_",takut
"t,_,_,_,_,_,_,_,_,_",tinggi
"t,i,_,_,_,_,_,_,_,_",tinggi
"t,i,n,_,_,_,_,_,_,_",tinggi
"t,i,n,g,_,_,_,_,_,_",tinggi
"t,i,n,g,g,_,_,_,_,_",tinggi
"t,i,n,g,g,i,_,_,_,_",tinggi
"t,_,_,_,_,_,_,_,_,_",tidur
"t,i,_,_,_,_,_,_,_,_",tidur
"t,i,d,_,_,_,_,_,_,_",tidur
"t,i,d,u,_,_,_,_,_,_",tidur
"t,i,d,u,r,_,_,_,_,_",tidur
"t,_,_,_,_,_,_,_,_,_",tolong
"t,o,_,_,_,_,_,_,_,_",tolong
"t,o,l,_,_,_,_,_,_,_",tolong
"t,o,l,o,_,_,_,_,_,_",tolong
"t,o,l,o,n,_,_,_,_,_",tolong
"t,o,l,o,n,g,_,_,_,_",tolong
"t,_,_,_,_,_,_,_,_,_",tulis
"t,u,_,_,_,_,_,_,_,_",tulis
"t,u,l,_,_,_,_,_,_,_",tulis
"t,u,l,i,_,_,_,_,_,_",tulis
"t,u,l,i,s,_,_,_,_,_",tulis
"t,_,_,_,_,_,_,_,_,_",tuhan
"t,u,_,_,_,_,_,_,_,_",tuhan
"t,u,h,_,_,_,_,_,_,_",tuhan
"t,u,h,a,_,_,_,_,_,_",tuhan
"t,u,h,a,n,_,_,_,_,_",tuhan
"u,_,_,_,_,_,_,_,_,_",untuk
"u,n,_,_,_,_,_,_,_,_",untuk
"u,n,t,_,_,_,_,_,_,_",untuk
"u,n,t,u,_,_,_,_,_,_",untuk
"u,n,t,u,k,_,_,_,_,_",untuk
"u,_,_,_,_,_,_,_,_,_",uang
"u,a,_,_,_,_,_,_,_,_",uang
"u,a,n,_,_,_,_,_,_,_",uang
"u,a,n,g,_,_,_,_,_,_",uang
"u,_,_,_,_,_,_,_,_,_",umur
"u,m,_,_,_,_,_,_,_,_",umur
"u,m,u,_,_,_,_,_,_,_",umur
"u,m,u,r,_,_,_,_,_,_",umur
"u,_,_,_,_,_,_,_,_,_",udara
"u,d,_,_,_,_,_,_,_,_",udara
"u,d,a,_,_,_,_,_,_,_",udara
"u,d,a,r,_,_,_,_,_,_",udara
"u,d,a,r,a,_,_,_,_,_",udara
"u,_,_,_,_,_,_,_,_,_",ulang
"u,l,_,_,_,_,_,_,_,_",ulang
"u,l,a,_,_,_,_,_,_,_",ulang
"u,l,a,n,_,_,_,_,_,_",ulang
"u,l,a,n,g,_,_,_,_,_",ulang
"u,_,_,_,_,_,_,_,_,_",usaha
"u,s,_,_,_,_,_,_,_,_",usaha
"u,s,a,_,_,_,_,_,_,_",usaha
"u,s,a,h,_,_,_,_,_,_",usaha
"u,s,a,h,a,_,_,_,_,_",usaha
"u,_,_,_,_,_,_,_,_,_",ujian
"u,j,_,_,_,_,_,_,_,_",ujian
"u,j,i,_,_,_,_,_,_,_",ujian
"u,j,i,a,_,_,_,_,_,_",ujian
"u,j,i,a,n,_,_,_,_,_",ujian
"u,_,_,_,_,_,_,_,_,_",untung
"u,n,_,_,_,_,_,_,_,_",untung
"u,n,t,_,_,_,_,_,_,_",untung
"u,n,t,u,_,_,_,_,_,_",untung
"u,n,t,u,n,_,_,_,_,_",untung
"u,n,t,u,n,g,_,_,_,_",untung
"u,_,_,_,_,_,_,_,_,_",utama
"u,t,_,_,_,_,_,_,_,_",utama
"u,t,a,_,_,_,_,_,_,_",utama
"u,t,a,m,_,_,_,_,_,_",utama
"u,t,a,m,a,_,_,_,_,_",utama
"u,_,_,_,_,_,_,_,_,_",unik
"u,n,_,_,_,_,_,_,_,_",unik
"u,n,i,_,_,_,_,_,_,_",unik
"u,n,i,k,_,_,_,_,_,_",unik
"v,_,_,_,_,_,_,_,_,_",video
"v,i,_,_,_,_,_,_,_,_",video
"v,i,d,_,_,_,_,_,_,_",video
"v,i,d,e,_,_,_,_,_,_",video
"v,i,d,e,o,_,_,_,_,_",video
"v,_,_,_,_,_,_,_,_,_",vitamin
"v,i,_,_,_,_,_,_,_,_",vitamin
"v,i,t,_,_,_,_,_,_,_",vitamin
"v,i,t,a,_,_,_,_,_,_",vitamin
"v,i,t,a,m,_,_,_,_,_",vitamin
"v,i,t,a,m,i,_,_,_,_",vitamin
"v,i,t,a,m,i,n,_,_,_",vitamin
"v,_,_,_,_,_,_,_,_,_",variasi
"v,a,_,_,_,_,_,_,_,_",variasi
"v,a,r,_,_,_,_,_,_,_",variasi
"v,a,r,i,_,_,_,_,_,_",variasi
"v,a,r,i,a,_,_,_,_,_",variasi
"v,a,r,i,a,s,_,_,_,_",variasi
"v,a,r,i,a,s,i,_,_,_",variasi
"v,_,_,_,_,_,_,_,_,_",vaksin
"v,a,_,_,_,_,_,_,_,_",vaksin
"v,a,k,_,_,_,_,_,_,_",vaksin
"v,a,k,s,_,_,_,_,_,_",vaksin
"v,a,k,s,i,_,_,_,_,_",vaksin
"v,a,k,s,i,n,_,_,_,_",vaksin
"v,_,_,_,_,_,_,_,_,_",veteran
"v,e,_,_,_,_,_,_,_,_",veteran
"v,e,t,_,_,_,_,_,_,_",veteran
"v,e,t,e,_,_,_,_,_,_",veteran
"v,e,t,e,r,_,_,_,_,_",veteran
"v,e,t,e,r,a,_,_,_,_",veteran
"v,e,t,e,r,a,n,_,_,_",veteran
"v,_,_,_,_,_,_,_,_,_",volume
"v,o,_,_,_,_,_,_,_,_",volume
"v,o,l,_,_,_,_,_,_,_",volume
"v,o,l,u,_,_,_,_,_,_",volume
"v,o,l,u,m,_,_,_,_,_",volume
"v,o,l,u,m,e,_,_,_,_",volume
"v,_,_,_,_,_,_,_,_,_",visi
"v,i,_,_,_,_,_,_,_,_",visi
"v,i,s,_,_,_,_,_,_,_",visi
"v,i,s,i,_,_,_,_,_,_",visi
"v,_,_,_,_,_,_,_,_,_",versus
"v,e,_,_,_,_,_,_,_,_",versus
"v,e,r,_,_,_,_,_,_,_",versus
"v,e,r,s,_,_,_,_,_,_",versus
"v,e,r,s,u,_,_,_,_,_",versus
"v,e,r,s,u,s,_,_,_,_",versus
"v,_,_,_,_,_,_,_,_,_",violin
"v,i,_,_,_,_,_,_,_,_",violin
"v,i,o,_,_,_,_,_,_,_",violin
"v,i,o,l,_,_,_,_,_,_",violin
"v,i,o,l,i,_,_,_,_,_",violin
"v,i,o,l,i,n,_,_,_,_",violin
"v,_,_,_,_,_,_,_,_,_",vocal
"v,o,_,_,_,_,_,_,_,_",vocal
"v,o,c,_,_,_,_,_,_,_",vocal
"v,o,c,a,_,_,_,_,_,_",vocal
"v,o,c,a,l,_,_,_,_,_",vocal
"w,_,_,_,_,_,_,_,_,_",warna
"w,a,_,_,_,_,_,_,_,_",warna
"w,a,r,_,_,_,_,_,_,_",warna
"w,a,r,n,_,_,_,_,_,_",warna
"w,a,r,n,a,_,_,_,_,_",warna
"w,_,_,_,_,_,_,_,_,_",waktu
"w,a,_,_,_,_,_,_,_,_",waktu
"w,a,k,_,_,_,_,_,_,_",waktu
